Solar PV,,,,,,,,,,,,,,,,
REZ ID,REZ Name,Region,Reference year (Financial year ending),,,,,,,,,,,,,Avg of ref years
,,,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Q1,Far North QLD,QLD,23%,26%,27%,26%,29%,28%,28%,28%,27%,29%,27%,27%,27%,27%
Q2,North Qld Clean Energy Hub,QLD,26%,29%,30%,30%,31%,31%,31%,31%,31%,32%,31%,30%,30%,30%
Q3,Northern Qld,QLD,23%,26%,28%,27%,29%,30%,29%,29%,29%,31%,28%,29%,28%,28%
Q4,Isaac,QLD,23%,27%,28%,29%,30%,30%,29%,30%,29%,31%,29%,29%,28%,29%
Q5,Barcaldine,QLD,28%,30%,31%,32%,33%,32%,31%,32%,33%,33%,32%,32%,30%,32%
Q6,Fitzroy,QLD,23%,27%,27%,29%,29%,30%,29%,29%,29%,30%,29%,28%,27%,28%
Q7,Wide Bay,QLD,22%,25%,26%,28%,27%,28%,28%,28%,28%,29%,27%,26%,25%,27%
Q8,Darling Downs,QLD,23%,26%,27%,29%,28%,28%,28%,29%,29%,30%,28%,27%,27%,28%
Q9,Banana,QLD,24%,27%,28%,30%,30%,30%,30%,30%,30%,31%,29%,29%,28%,29%
N1,North West NSW,NSW,25%,27%,29%,30%,29%,30%,29%,31%,31%,30%,29%,28%,29%,29%
N2,New England,NSW,22%,24%,26%,27%,26%,27%,26%,28%,28%,27%,26%,24%,27%,26%
N3,Central-West Orana,NSW,24%,25%,28%,28%,28%,28%,28%,29%,29%,29%,27%,25%,27%,27%
N4,Broken Hill,NSW,27%,29%,30%,30%,30%,29%,30%,31%,32%,33%,30%,30%,30%,30%
N5,South West NSW,NSW,25%,26%,28%,27%,28%,28%,27%,28%,29%,29%,28%,27%,27%,27%
N6,Wagga Wagga,NSW,24%,25%,27%,26%,27%,27%,26%,27%,28%,27%,26%,25%,25%,26%
N7,Tumut,NSW,Resource limit of 0 MW,,,,,,,,,,,,,
N8,Cooma-Monaro,NSW,Resource limit of 0 MW,,,,,,,,,,,,,
N9,Hunter-Central Coast,NSW,22%,22%,25%,27%,25%,26%,25%,27%,27%,26%,24%,23%,26%,25%
N12,Illawarra,NSW,Resource limit of 0 MW,,,,,,,,,,,,,
V1,Ovens Murray,VIC,21%,23%,24%,22%,24%,25%,24%,25%,25%,24%,24%,23%,23%,24%
V2,Murray River,VIC,25%,26%,28%,26%,28%,27%,27%,28%,29%,28%,27%,27%,27%,27%
V3,Western Victoria,VIC,20%,22%,23%,22%,23%,24%,23%,24%,25%,23%,23%,23%,23%,23%
V4,South West Victoria,VIC,Resource limit of 0 MW,,,,,,,,,,,,,
V5,Gippsland,VIC,20%,20%,22%,21%,21%,22%,23%,23%,23%,22%,22%,21%,22%,22%
V6,Central North Vic,VIC,23%,25%,26%,25%,26%,26%,25%,27%,27%,26%,26%,25%,25%,26%
S1,South East SA,SA,21%,23%,24%,23%,23%,24%,24%,24%,24%,24%,24%,24%,24%,24%
S2,Riverland,SA,24%,26%,27%,27%,28%,27%,27%,28%,29%,29%,28%,28%,27%,27%
S3,Mid-North SA,SA,23%,25%,26%,25%,26%,26%,26%,26%,27%,27%,26%,26%,26%,26%
S4,Yorke Peninsula,SA,Resource limit of 0 MW,,,,,,,,,,,,,
S5,Northern SA,SA,25%,27%,28%,27%,28%,28%,28%,28%,29%,30%,28%,28%,28%,28%
S6,Leigh Creek,SA,27%,29%,30%,30%,30%,29%,30%,30%,31%,32%,30%,30%,30%,30%
S7,Roxby Downs,SA,28%,29%,30%,30%,31%,30%,31%,31%,32%,33%,31%,31%,31%,31%
S8,Eastern Eyre Peninsula,SA,22%,24%,25%,24%,25%,25%,25%,25%,26%,26%,25%,24%,25%,25%
S9,Western Eyre Peninsula,SA,24%,26%,28%,27%,28%,28%,28%,28%,28%,29%,28%,28%,28%,27%
T1,North East Tasmania,TAS,20%,21%,22%,20%,21%,23%,23%,24%,23%,22%,22%,22%,23%,22%
T2,North West Tasmania,TAS,17%,19%,19%,18%,19%,21%,20%,20%,20%,20%,20%,20%,21%,19%
T3,Central Highlands,TAS,19%,19%,20%,19%,20%,22%,21%,22%,22%,21%,21%,20%,21%,21%
N0,New South Wales Non-REZ,NSW,19%,20%,24%,24%,23%,23%,24%,25%,24%,24%,23%,21%,24%,23%
V0,Victoria Non-REZ,VIC,18%,19%,20%,19%,20%,20%,21%,22%,22%,21%,21%,20%,21%,20%