Wind Medium,,,,,,,,,,,,,,,,
REZ ID,REZ Name,Region,Reference year (Financial year ending),,,,,,,,,,,,,Avg of ref years
,,,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Q1,Far North QLD,QLD,40%,43%,45%,46%,45%,40%,42%,45%,44%,42%,40%,38%,38%,42%
Q2,North Qld Clean Energy Hub,QLD,32%,33%,35%,37%,35%,31%,32%,33%,35%,32%,32%,30%,30%,33%
Q3,Northern Qld,QLD,Resource limit of 0 MW,,,,,,,,,,,,,
Q4,Isaac,QLD,29%,29%,30%,33%,30%,29%,30%,30%,35%,29%,31%,30%,29%,30%
Q5,Barcaldine,QLD,30%,28%,31%,32%,31%,29%,29%,30%,33%,28%,29%,28%,27%,30%
Q6,Fitzroy,QLD,32%,32%,32%,33%,32%,31%,31%,30%,36%,30%,33%,31%,30%,32%
Q7,Wide Bay,QLD,29%,30%,30%,28%,29%,28%,28%,29%,30%,26%,28%,29%,28%,29%
Q8,Darling Downs,QLD,32%,31%,32%,31%,33%,31%,31%,33%,35%,32%,33%,34%,33%,32%
Q9,Banana,QLD,25%,25%,26%,25%,26%,24%,25%,25%,27%,24%,25%,25%,24%,25%
N1,North West NSW,NSW,Resource limit of 0 MW,,,,,,,,,,,,,
N2,New England,NSW,38%,35%,36%,35%,36%,36%,36%,37%,38%,37%,39%,40%,38%,37%
N3,Central-West Orana,NSW,34%,32%,32%,31%,33%,32%,32%,34%,34%,35%,34%,35%,34%,33%
N4,Broken Hill,NSW,27%,29%,29%,31%,29%,29%,28%,30%,29%,30%,29%,30%,28%,29%
N5,South West NSW,NSW,27%,29%,29%,31%,28%,28%,29%,30%,30%,31%,30%,30%,29%,29%
N6,Wagga Wagga,NSW,26%,26%,25%,27%,26%,25%,25%,27%,26%,27%,26%,26%,26%,26%
N7,Tumut,NSW,Resource limit of 0 MW,,,,,,,,,,,,,
N8,Cooma-Monaro,NSW,37%,36%,39%,40%,37%,38%,38%,40%,39%,38%,39%,38%,39%,38%
N9,Hunter-Central Coast,NSW,33%,29%,31%,30%,30%,32%,31%,33%,30%,33%,33%,33%,31%,31%
N12,Illawarra,VIC,Resource limit of 0 MW,,,,,,,,,,,,,
V1,Ovens Murray,VIC,Resource limit of 0 MW,,,,,,,,,,,,,
V2,Murray River,VIC,Resource limit of 0 MW,,,,,,,,,,,,,
V3,Western Victoria,VIC,33%,36%,35%,38%,34%,34%,34%,36%,36%,38%,36%,38%,35%,36%
V4,South West Victoria,VIC,36%,39%,37%,41%,36%,36%,37%,39%,39%,41%,38%,40%,38%,38%
V5,Gippsland,VIC,33%,34%,34%,37%,34%,33%,34%,34%,34%,37%,37%,36%,34%,35%
V6,Central North Vic,VIC,29%,30%,29%,32%,31%,31%,29%,32%,32%,32%,32%,32%,30%,31%
S1,South East SA,SA,33%,36%,34%,39%,34%,34%,34%,36%,37%,37%,35%,37%,35%,35%
S2,Riverland,SA,25%,27%,28%,30%,26%,27%,27%,30%,30%,29%,28%,29%,28%,28%
S3,Mid-North SA,SA,33%,35%,35%,38%,33%,35%,34%,38%,38%,37%,35%,36%,36%,36%
S4,Yorke Peninsula,SA,31%,32%,32%,38%,32%,33%,32%,36%,36%,34%,34%,36%,34%,34%
S5,Northern SA,SA,Resource limit of 0 MW,,,,,,,,,,,,,
S6,Leigh Creek,SA,38%,37%,38%,38%,37%,36%,35%,37%,36%,36%,37%,37%,36%,37%
S7,Roxby Downs,SA,Resource limit of 0 MW,,,,,,,,,,,,,
S8,Eastern Eyre Peninsula,SA,34%,35%,35%,40%,34%,35%,34%,38%,37%,36%,37%,38%,36%,36%
S9,Western Eyre Peninsula,SA,35%,36%,36%,40%,36%,35%,34%,39%,38%,36%,38%,38%,37%,37%
T1,North East Tasmania,TAS,40%,39%,38%,42%,39%,40%,44%,40%,42%,44%,40%,41%,38%,41%
T2,North West Tasmania,TAS,46%,46%,43%,46%,45%,42%,44%,46%,45%,47%,46%,45%,43%,45%
T3,Central Highlands,TAS,51%,51%,49%,51%,49%,47%,51%,50%,51%,54%,48%,47%,45%,49%
N0,New South Wales Non-REZ,NSW,35%,31%,32%,31%,31%,31%,31%,32%,31%,34%,33%,35%,35%,32%
V0,Victoria Non-REZ,VIC,34%,37%,36%,42%,35%,36%,37%,38%,37%,40%,38%,40%,37%,38%